Country,Region,Population,Area(sq. km.),Pop. Density (per sq. km.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capital),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Afghanistan,ASIA,31056997,647500,480,0,2306,16307,700,360,32,1213,22,8765,1,466,2034,38,24,38
Albania,EUROPE,3581655,28748,1240,126,-493,2152,4500,865,712,2109,442,7449,3,1511,522,232,188,579
Algeria,AFRICA,32930091,2381740,130,4,-39,31,6000,700,781,322,25,9653,1,1714,461,101,6,298
American Samoa,OCEANIA,57794,199,2900,5829,-2071,927,8000,970,2595,10,15,75,2,2246,327,,,
Andorra,EUROPE,71201,468,1520,0,66,405,19000,1000,4972,222,0,9778,3,871,625,,,
Angola,AFRICA,12127071,1246700,90,13,0,19119,1900,420,78,241,24,9735,,4511,242,96,658,246
Anguilla,SOUTH AMERICA,13477,102,1320,5980,1076,2103,8600,950,4600,0,0,100,2,1417,534,4,18,78
Antigua & Barbuda,SOUTH AMERICA,69108,443,1560,3454,-615,1946,11000,890,5499,1818,455,7727,2,1693,537,38,22,743
Argentina,SOUTH AMERICA,39921833,2766890,140,18,61,1518,11200,971,2204,1231,48,8721,3,1673,755,95,358,547
Armenia,ASIA,2976372,29800,990,0,-647,2328,3500,986,1957,1755,23,8015,4,1207,823,239,343,418
Aruba,SOUTH AMERICA,71891,193,3720,3549,0,589,28000,970,5161,1053,0,8947,2,1103,668,4,333,663
Australia,OCEANIA,20264082,7686850,20,34,398,469,29000,1000,5655,655,4,9341,1,1214,751,38,262,7
Austria,EUROPE,8192880,83870,970,0,2,466,30000,980,4522,1691,86,8223,3,874,976,18,304,678
Azerbaijan,ASIA,7961619,86600,910,0,-49,8174,3400,970,1371,1963,271,7766,1,2074,975,141,457,402
Bahamas,NORTH AMERICA,303770,13940,210,2541,-22,2521,16700,956,4606,8,4,988,2,1757,905,3,7,9
Bahrain,ASIA,698585,665,10500,2421,105,1727,16900,891,2813,282,563,9155,1,178,414,5,387,608
Bangladesh,ASIA,147365352,144000,10230,40,-71,626,1900,431,73,6211,307,3482,2,298,827,199,198,603
Barbados,NORTH AMERICA,279912,431,6490,2251,-31,125,15700,974,4819,3721,233,6046,2,1271,867,6,16,78
Belarus,EUROPE,10293011,207600,490,0,254,1337,6100,996,3191,2955,6,6985,4,1116,1402,93,316,591
Belgium,EUROPE,10379067,30528,3400,22,123,468,29100,980,4626,2328,4,7632,3,1038,1027,1,24,749
Belize,NORTH AMERICA,287730,22966,120,168,0,2569,4900,941,1157,285,171,9544,2,2884,572,142,152,612
Benin,AFRICA,7862944,112620,690,11,0,85,1100,409,97,1808,24,7952,2,3885,1222,316,138,546
Bermuda,NORTH AMERICA,65773,53,12410,19434,249,853,36000,980,8514,20,0,80,2,114,774,1,1,89
Bhutan,ASIA,2279723,47000,480,0,0,10044,1300,422,143,309,43,9648,2,3365,127,258,379,363
Bolivia,SOUTH AMERICA,8989046,1098580,80,0,-132,5311,2400,872,719,267,19,9714,15,233,753,128,352,52
Bosnia & Herzegovina,EUROPE,4498976,51129,880,4,31,2105,6100,,2154,136,296,8344,4,877,827,142,308,55
Botswana,AFRICA,1639833,600370,20,0,0,5458,9000,798,805,65,1,9934,1,2308,295,24,469,507
Brazil,SOUTH AMERICA,188078227,8511965,220,9,-3,2961,7600,864,2253,696,9,9215,2,1656,617,84,4,516
British Virgin Is.,SOUTH AMERICA,23098,153,1510,5229,1001,1805,16000,978,5065,20,667,7333,2,1489,442,18,62,92
Brunei,ASIA,379444,5770,650,279,359,1261,18600,939,2372,57,76,9867,2,1879,345,36,561,403
Bulgaria,EUROPE,7385367,110910,660,32,-458,2055,7600,986,3363,4002,192,5806,3,965,1427,93,304,603
Burkina Faso,AFRICA,13902972,274200,500,0,0,9757,1100,266,70,1443,19,8538,2,4562,156,322,196,482
Burma,ASIA,47382633,678500,690,28,-18,6724,1800,853,101,1519,97,8384,2,1791,983,564,82,353
Burundi,AFRICA,8090068,27830,2900,0,-6,6929,600,516,34,3505,1402,5093,2,4222,1346,463,203,334
Cambodia,ASIA,13881427,181040,760,24,0,7148,1900,694,26,2096,61,7843,2,269,906,35,3,35
Cameroon,AFRICA,17340702,475440,360,8,0,6826,1800,790,57,1281,258,8461,15,3389,1347,448,17,382
Canada,NORTH AMERICA,33098932,9984670,30,202,596,475,29800,970,5522,496,2,9502,,1078,78,22,294,684
Cape Verde,AFRICA,420979,4033,1040,2393,-1207,4777,1400,766,1696,968,5,8982,3,2487,655,121,219,66
Cayman Islands,SOUTH AMERICA,45436,262,1730,6107,1875,819,35000,980,8363,385,0,9615,2,1274,489,14,32,954
Central African Rep.,AFRICA,4303356,622984,60,0,0,91,1100,510,23,31,14,9676,2,3391,1865,55,2,25
Chad,AFRICA,9944201,1284000,70,0,-11,9382,1200,475,13,286,2,9712,2,4573,1638,335,259,406
Chile,SOUTH AMERICA,16134219,756950,210,85,0,88,9900,962,2130,265,42,9693,3,1523,581,6,493,447
China,ASIA,1313973713,9596960,1360,15,-4,2418,5000,909,2667,154,125,8335,15,1325,697,125,473,403
Colombia,SOUTH AMERICA,43593035,1138910,380,28,-31,2097,6300,925,1762,242,167,9591,2,2048,558,125,342,533
